period,date,region,trust_name,ae_type,total_attendances,within_4hrs,breaches_over_4hrs,pct_within_4hrs,emergency_admissions,avg_wait_minutes,over_12hr_waits
2021-01,2021-01-01,London,Barts Health NHS Trust,Type 1 - Major A&E,9471,5659,3812,59.7,2551,268,89
2021-01,2021-01-01,London,Barts Health NHS Trust,Type 2 - Specialist,744,428,316,57.4,208,277,0
2021-01,2021-01-01,London,Barts Health NHS Trust,Type 3 - Minor Injuries,1163,842,321,72.3,405,167,0
2021-01,2021-01-01,London,Imperial College Healthcare,Type 1 - Major A&E,6862,3255,3607,47.4,1749,326,25
2021-01,2021-01-01,London,Imperial College Healthcare,Type 2 - Specialist,2889,1941,948,67.2,548,221,0
2021-01,2021-01-01,London,Imperial College Healthcare,Type 3 - Minor Injuries,1602,871,731,54.3,294,282,0
2021-01,2021-01-01,London,Kings College Hospital,Type 1 - Major A&E,7836,6360,1476,81.2,1652,135,51
2021-01,2021-01-01,London,Kings College Hospital,Type 2 - Specialist,2363,1306,1057,55.2,370,251,0
2021-01,2021-01-01,London,Kings College Hospital,Type 3 - Minor Injuries,3220,2190,1030,68.0,817,202,0
2021-01,2021-01-01,London,Guy's and St Thomas',Type 1 - Major A&E,5996,4853,1143,80.9,2026,119,102
2021-01,2021-01-01,London,Guy's and St Thomas',Type 2 - Specialist,1166,789,377,67.6,399,184,0
2021-01,2021-01-01,London,Guy's and St Thomas',Type 3 - Minor Injuries,3000,2024,976,67.4,1029,224,0
2021-01,2021-01-01,London,University College London Hospitals,Type 1 - Major A&E,10219,5790,4429,56.7,1564,238,513
2021-01,2021-01-01,London,University College London Hospitals,Type 2 - Specialist,2235,1104,1131,49.4,653,307,0
2021-01,2021-01-01,London,University College London Hospitals,Type 3 - Minor Injuries,2574,2022,552,78.5,857,106,0
2021-01,2021-01-01,North West,Manchester University NHS Foundation Trust,Type 1 - Major A&E,5293,3369,1924,63.6,1566,227,79
2021-01,2021-01-01,North West,Manchester University NHS Foundation Trust,Type 2 - Specialist,1858,1159,699,62.4,561,220,0
2021-01,2021-01-01,North West,Manchester University NHS Foundation Trust,Type 3 - Minor Injuries,922,651,271,70.6,217,187,0
2021-01,2021-01-01,North West,Liverpool University Hospitals,Type 1 - Major A&E,8736,5173,3563,59.2,1859,245,371
2021-01,2021-01-01,North West,Liverpool University Hospitals,Type 2 - Specialist,2671,1887,784,70.6,522,177,0
2021-01,2021-01-01,North West,Liverpool University Hospitals,Type 3 - Minor Injuries,2032,1667,365,82.0,424,129,0
2021-01,2021-01-01,North West,Lancashire Teaching Hospitals,Type 1 - Major A&E,5105,3169,1936,62.1,1667,254,35
2021-01,2021-01-01,North West,Lancashire Teaching Hospitals,Type 2 - Specialist,1769,1013,756,57.3,416,277,0
2021-01,2021-01-01,North West,Lancashire Teaching Hospitals,Type 3 - Minor Injuries,1364,782,582,57.3,318,262,0
2021-01,2021-01-01,North West,Bolton NHS Foundation Trust,Type 1 - Major A&E,3418,2253,1165,65.9,993,222,11
2021-01,2021-01-01,North West,Bolton NHS Foundation Trust,Type 2 - Specialist,2793,1782,1011,63.8,587,235,0
2021-01,2021-01-01,North West,Bolton NHS Foundation Trust,Type 3 - Minor Injuries,3027,2225,802,73.5,485,165,0
2021-01,2021-01-01,Midlands,University Hospitals Birmingham,Type 1 - Major A&E,8240,4938,3302,59.9,2042,241,273
2021-01,2021-01-01,Midlands,University Hospitals Birmingham,Type 2 - Specialist,2550,1911,639,74.9,753,143,0
2021-01,2021-01-01,Midlands,University Hospitals Birmingham,Type 3 - Minor Injuries,3212,2279,933,70.9,994,152,0
2021-01,2021-01-01,Midlands,Nottingham University Hospitals,Type 1 - Major A&E,11112,8820,2292,79.4,2391,128,5
2021-01,2021-01-01,Midlands,Nottingham University Hospitals,Type 2 - Specialist,2295,1432,863,62.4,775,234,0
2021-01,2021-01-01,Midlands,Nottingham University Hospitals,Type 3 - Minor Injuries,1949,1587,362,81.4,578,130,0
2021-01,2021-01-01,Midlands,University Hospitals of Leicester,Type 1 - Major A&E,7922,5195,2727,65.6,2483,232,211
2021-01,2021-01-01,Midlands,University Hospitals of Leicester,Type 2 - Specialist,1215,772,443,63.5,401,247,0
2021-01,2021-01-01,Midlands,University Hospitals of Leicester,Type 3 - Minor Injuries,3162,2172,990,68.7,1041,180,0
2021-01,2021-01-01,Midlands,Coventry and Warwickshire,Type 1 - Major A&E,8470,5944,2526,70.2,1544,185,253
2021-01,2021-01-01,Midlands,Coventry and Warwickshire,Type 2 - Specialist,649,399,250,61.4,98,246,0
2021-01,2021-01-01,Midlands,Coventry and Warwickshire,Type 3 - Minor Injuries,752,557,195,74.1,139,128,0
2021-01,2021-01-01,South East,Oxford University Hospitals,Type 1 - Major A&E,8945,5412,3533,60.5,2673,209,348
2021-01,2021-01-01,South East,Oxford University Hospitals,Type 2 - Specialist,3255,2347,908,72.1,651,166,0
2021-01,2021-01-01,South East,Oxford University Hospitals,Type 3 - Minor Injuries,2419,1795,624,74.2,573,144,0
2021-01,2021-01-01,South East,Brighton and Sussex,Type 1 - Major A&E,7189,5658,1531,78.7,1409,144,64
2021-01,2021-01-01,South East,Brighton and Sussex,Type 2 - Specialist,962,608,354,63.1,234,236,0
2021-01,2021-01-01,South East,Brighton and Sussex,Type 3 - Minor Injuries,3663,2994,669,81.7,791,124,0
2021-01,2021-01-01,South East,Royal Surrey NHS Foundation Trust,Type 1 - Major A&E,3370,2628,742,78.0,765,124,29
2021-01,2021-01-01,South East,Royal Surrey NHS Foundation Trust,Type 2 - Specialist,3408,2604,804,76.4,985,150,0
2021-01,2021-01-01,South East,Royal Surrey NHS Foundation Trust,Type 3 - Minor Injuries,2812,2208,604,78.5,500,124,0
2021-01,2021-01-01,South East,East Kent Hospitals,Type 1 - Major A&E,12744,10065,2679,79.0,3702,143,222
2021-01,2021-01-01,South East,East Kent Hospitals,Type 2 - Specialist,2035,1680,355,82.5,676,131,0
2021-01,2021-01-01,South East,East Kent Hospitals,Type 3 - Minor Injuries,3105,2486,619,80.1,901,104,0
2021-01,2021-01-01,North East & Yorkshire,Newcastle upon Tyne Hospitals,Type 1 - Major A&E,12910,8377,4533,64.9,2179,202,456
2021-01,2021-01-01,North East & Yorkshire,Newcastle upon Tyne Hospitals,Type 2 - Specialist,493,343,150,69.5,132,173,0
2021-01,2021-01-01,North East & Yorkshire,Newcastle upon Tyne Hospitals,Type 3 - Minor Injuries,2467,1920,547,77.8,432,135,0
2021-01,2021-01-01,North East & Yorkshire,Leeds Teaching Hospitals,Type 1 - Major A&E,5406,4468,938,82.6,1721,105,74
2021-01,2021-01-01,North East & Yorkshire,Leeds Teaching Hospitals,Type 2 - Specialist,499,285,214,57.1,171,268,0
