period,date,region,trust_name,ae_type,total_attendances,within_4hrs,breaches_over_4hrs,pct_within_4hrs,emergency_admissions,avg_wait_minutes,over_12hr_waits,year,month_name,quarter
2021-01,2021-01-01,London,Barts Health NHS Trust,Type 1 - Major A&E,9471,5659,3812,59.7,2551,268,89,2021,January,1
2021-01,2021-01-01,London,Imperial College Healthcare,Type 1 - Major A&E,6862,3255,3607,47.4,1749,326,25,2021,January,1
2021-01,2021-01-01,London,Kings College Hospital,Type 1 - Major A&E,7836,6360,1476,81.2,1652,135,51,2021,January,1
2021-01,2021-01-01,London,Guy's and St Thomas',Type 1 - Major A&E,5996,4853,1143,80.9,2026,119,102,2021,January,1
2021-01,2021-01-01,London,University College London Hospitals,Type 1 - Major A&E,10219,5790,4429,56.7,1564,238,513,2021,January,1
2021-01,2021-01-01,North West,Manchester University NHS Foundation Trust,Type 1 - Major A&E,5293,3369,1924,63.6,1566,227,79,2021,January,1
2021-01,2021-01-01,North West,Liverpool University Hospitals,Type 1 - Major A&E,8736,5173,3563,59.2,1859,245,371,2021,January,1
2021-01,2021-01-01,North West,Lancashire Teaching Hospitals,Type 1 - Major A&E,5105,3169,1936,62.1,1667,254,35,2021,January,1
2021-01,2021-01-01,North West,Bolton NHS Foundation Trust,Type 1 - Major A&E,3418,2253,1165,65.9,993,222,11,2021,January,1
2021-01,2021-01-01,Midlands,University Hospitals Birmingham,Type 1 - Major A&E,8240,4938,3302,59.9,2042,241,273,2021,January,1
2021-01,2021-01-01,Midlands,Nottingham University Hospitals,Type 1 - Major A&E,11112,8820,2292,79.4,2391,128,5,2021,January,1
2021-01,2021-01-01,Midlands,University Hospitals of Leicester,Type 1 - Major A&E,7922,5195,2727,65.6,2483,232,211,2021,January,1
2021-01,2021-01-01,Midlands,Coventry and Warwickshire,Type 1 - Major A&E,8470,5944,2526,70.2,1544,185,253,2021,January,1
2021-01,2021-01-01,South East,Oxford University Hospitals,Type 1 - Major A&E,8945,5412,3533,60.5,2673,209,348,2021,January,1
2021-01,2021-01-01,South East,Brighton and Sussex,Type 1 - Major A&E,7189,5658,1531,78.7,1409,144,64,2021,January,1
2021-01,2021-01-01,South East,Royal Surrey NHS Foundation Trust,Type 1 - Major A&E,3370,2628,742,78.0,765,124,29,2021,January,1
