customer_id,age,gender,region,primary_product,tenure_months,monthly_transactions,avg_balance_gbp,num_products,has_credit_card,num_support_tickets,app_logins_per_month,referral_source,satisfaction_score,churned
CUST-00001,40,Male,South East,Savings,4,13,2891.23,1,1,1,14,Referral,4,0
CUST-00002,33,Male,South East,Current Account,5,13,1283.93,1,1,3,18,Paid Ads,5,0
CUST-00003,42,Female,Yorkshire,Crypto Wallet,13,15,3726.81,2,0,2,11,Organic,4,0
CUST-00004,53,Male,South East,Crypto Wallet,23,18,4716.61,3,1,3,12,Organic,4,0
CUST-00005,32,Female,London,Current Account,23,14,5836.37,1,0,2,19,Social Media,3,0
CUST-00006,32,Female,North West,Current Account,1,17,3708.09,4,1,2,13,Organic,4,0
CUST-00007,53,Female,Yorkshire,Current Account,60,18,2442.6,1,0,0,12,Organic,1,0
CUST-00008,44,Female,South East,Current Account,41,17,2542.73,1,0,2,13,Social Media,3,0
CUST-00009,29,Female,Scotland,Current Account,79,18,2807.69,1,1,3,8,Referral,4,0
CUST-00010,41,Male,Scotland,Savings,10,12,854.77,1,1,1,15,Organic,3,0
CUST-00011,29,Female,Yorkshire,Business Account,26,11,1159.11,3,0,1,8,Organic,4,0
CUST-00012,29,Male,East of England,Savings,4,16,2930.14,2,0,4,11,Organic,3,0
CUST-00013,37,Male,North West,Current Account,40,17,3946.47,1,0,2,14,Organic,5,0
CUST-00014,18,Male,London,Current Account,4,16,827.83,1,1,1,10,Organic,2,1
CUST-00015,18,Female,South East,Current Account,9,12,496.73,2,0,2,15,Referral,3,0
CUST-00016,28,Male,North West,Current Account,16,17,242.17,1,0,1,16,Referral,4,1
CUST-00017,22,Male,Yorkshire,Crypto Wallet,21,16,397.98,1,1,0,17,Referral,4,0
CUST-00018,38,Male,London,Current Account,19,15,946.27,1,1,0,11,Social Media,4,0
CUST-00019,24,Female,South East,Business Account,2,17,1057.92,1,1,1,12,Paid Ads,4,0
CUST-00020,18,Female,South West,Savings,13,23,1287.68,4,1,0,12,Social Media,4,0
CUST-00021,52,Female,Scotland,Savings,61,14,425.8,2,0,1,9,Organic,4,0
CUST-00022,32,Female,Yorkshire,Savings,49,11,205.4,3,1,1,8,Referral,4,0
CUST-00023,35,Male,South West,Investment ISA,21,11,2104.59,3,0,0,10,Referral,4,0
CUST-00024,18,Male,South West,Savings,20,17,2105.61,3,1,2,11,Referral,2,0
CUST-00025,28,Female,Yorkshire,Current Account,2,15,3810.83,1,1,1,9,Organic,1,1
CUST-00026,36,Male,North West,Current Account,5,17,4808.04,2,0,2,7,Organic,5,0
CUST-00027,21,Male,Northern Ireland,Business Account,6,15,2895.26,1,1,0,19,Social Media,1,0
CUST-00028,39,Male,Midlands,Current Account,16,7,2074.76,2,0,3,12,Referral,5,0
CUST-00029,27,Female,London,Savings,31,11,5173.0,1,0,4,14,Social Media,3,0
CUST-00030,31,Male,South East,Savings,14,15,9985.31,1,0,2,12,Organic,4,0
CUST-00031,27,Female,Yorkshire,Current Account,3,12,802.71,2,1,1,15,Paid Ads,5,0
CUST-00032,57,Male,East of England,Current Account,13,10,4556.51,1,1,1,15,Organic,3,0
CUST-00033,34,Female,London,Current Account,4,13,854.9,3,0,3,13,Social Media,5,0
CUST-00034,22,Male,London,Investment ISA,33,15,2351.58,1,1,4,10,Referral,4,0
CUST-00035,44,Male,Wales,Savings,4,21,6525.34,2,0,2,12,Social Media,4,0
CUST-00036,20,Male,East of England,Crypto Wallet,15,13,1301.92,3,0,1,8,Organic,3,0
CUST-00037,37,Female,South East,Investment ISA,28,19,576.81,1,1,2,10,Organic,3,0
CUST-00038,18,Male,North West,Current Account,6,11,1042.05,4,1,1,17,Social Media,3,0
