customer_id,age,gender,region,primary_product,tenure_months,monthly_transactions,avg_balance_gbp,num_products,has_credit_card,num_support_tickets,app_logins_per_month,referral_source,satisfaction_score,churned,tenure_cohort,product_encoded,region_encoded,source_encoded,churn_risk_score,risk_segment
CUST-00001,40,Male,South East,Savings,4,13,2891.23,1,1,1,14,Referral,4,0,0-6m,4,6,2,0.0185711888615819,Low Risk
CUST-00002,33,Male,South East,Current Account,5,13,1283.93,1,1,3,18,Paid Ads,5,0,0-6m,2,6,1,0.014773091585682413,Low Risk
CUST-00003,42,Female,Yorkshire,Crypto Wallet,13,15,3726.81,2,0,2,11,Organic,4,0,1-2yr,1,9,0,0.028631063866281826,Low Risk
CUST-00004,53,Male,South East,Crypto Wallet,23,18,4716.61,3,1,3,12,Organic,4,0,1-2yr,1,6,0,0.01906361590840628,Low Risk
CUST-00005,32,Female,London,Current Account,23,14,5836.37,1,0,2,19,Social Media,3,0,1-2yr,2,1,3,0.03217405935802385,Low Risk
CUST-00006,32,Female,North West,Current Account,1,17,3708.09,4,1,2,13,Organic,4,0,0-6m,2,3,0,0.018074307645996258,Low Risk
CUST-00007,53,Female,Yorkshire,Current Account,60,18,2442.6,1,0,0,12,Organic,1,0,4yr+,2,9,0,0.0660652892904539,Low Risk
CUST-00008,44,Female,South East,Current Account,41,17,2542.73,1,0,2,13,Social Media,3,0,2-4yr,2,6,3,0.009745402485035878,Low Risk
CUST-00009,29,Female,Scotland,Current Account,79,18,2807.69,1,1,3,8,Referral,4,0,4yr+,2,5,2,0.008254269790242418,Low Risk
CUST-00010,41,Male,Scotland,Savings,10,12,854.77,1,1,1,15,Organic,3,0,6-12m,4,5,0,0.04939527186711418,Low Risk
CUST-00011,29,Female,Yorkshire,Business Account,26,11,1159.11,3,0,1,8,Organic,4,0,2-4yr,0,9,0,0.008466832828924253,Low Risk
CUST-00012,29,Male,East of England,Savings,4,16,2930.14,2,0,4,11,Organic,3,0,0-6m,4,0,0,0.028947638146730223,Low Risk
CUST-00013,37,Male,North West,Current Account,40,17,3946.47,1,0,2,14,Organic,5,0,2-4yr,2,3,0,0.014914204853417778,Low Risk
CUST-00014,18,Male,London,Current Account,4,16,827.83,1,1,1,10,Organic,2,1,0-6m,2,1,0,0.1092780855409683,Low Risk
CUST-00015,18,Female,South East,Current Account,9,12,496.73,2,0,2,15,Referral,3,0,6-12m,2,6,2,0.04900969350074682,Low Risk
CUST-00016,28,Male,North West,Current Account,16,17,242.17,1,0,1,16,Referral,4,1,1-2yr,2,3,2,0.21592594505193896,Medium Risk
CUST-00017,22,Male,Yorkshire,Crypto Wallet,21,16,397.98,1,1,0,17,Referral,4,0,1-2yr,1,9,2,0.02544059916201366,Low Risk
CUST-00018,38,Male,London,Current Account,19,15,946.27,1,1,0,11,Social Media,4,0,1-2yr,2,1,3,0.014388275133671307,Low Risk
CUST-00019,24,Female,South East,Business Account,2,17,1057.92,1,1,1,12,Paid Ads,4,0,0-6m,0,6,1,0.01818434035991422,Low Risk
CUST-00020,18,Female,South West,Savings,13,23,1287.68,4,1,0,12,Social Media,4,0,1-2yr,4,7,3,0.01498890678768342,Low Risk
CUST-00021,52,Female,Scotland,Savings,61,14,425.8,2,0,1,9,Organic,4,0,4yr+,4,5,0,0.010839670279446227,Low Risk
CUST-00022,32,Female,Yorkshire,Savings,49,11,205.4,3,1,1,8,Referral,4,0,4yr+,4,9,2,0.019947371476405337,Low Risk
CUST-00023,35,Male,South West,Investment ISA,21,11,2104.59,3,0,0,10,Referral,4,0,1-2yr,3,7,2,0.010843798992431186,Low Risk
