order_id,order_date,customer_id,category,order_value_gbp,quantity,region,marketing_channel,device,is_returning_customer,discount_applied,delivery_days,returned,revenue_gbp,month,day_of_week,hour
ORD-000001,2024-10-20 03:00:00,CUST-05904,Fashion,36.02,5,London,Paid Search,Tablet,0,1,1,0,180.1,2024-10,Sunday,3
ORD-000002,2023-02-05 20:00:00,CUST-06464,Fashion,69.74,4,West Midlands,Referral,Mobile,1,0,1,0,278.96,2023-02,Sunday,20
ORD-000003,2023-08-13 14:00:00,CUST-00632,Home & Garden,29.87,5,Scotland,Referral,Mobile,0,0,7,0,149.35,2023-08,Sunday,14
ORD-000004,2024-05-13 12:00:00,CUST-00776,Electronics,70.46,2,South West,Organic Search,Desktop,0,0,7,0,140.92,2024-05,Monday,12
ORD-000005,2024-04-15 04:00:00,CUST-05984,Home & Garden,33.89,4,North West,Organic Search,Mobile,0,0,3,0,135.56,2024-04,Monday,4
ORD-000006,2023-09-19 01:00:00,CUST-01443,Home & Garden,92.51,4,West Midlands,Email,Desktop,0,0,3,0,370.04,2023-09,Tuesday,1
ORD-000007,2024-12-03 02:00:00,CUST-04072,Home & Garden,36.54,3,East of England,Paid Search,Mobile,0,0,3,0,109.62,2024-12,Tuesday,2
ORD-000008,2023-07-04 10:00:00,CUST-02072,Books & Media,29.05,4,London,Organic Search,Mobile,0,0,3,0,116.2,2023-07,Tuesday,10
ORD-000009,2024-08-23 23:00:00,CUST-07199,Home & Garden,56.53,1,London,Direct,Desktop,1,0,7,0,56.53,2024-08,Friday,23
ORD-000010,2024-04-18 11:00:00,CUST-00621,Fashion,71.62,2,Yorkshire,Email,Mobile,0,0,5,0,143.24,2024-04,Thursday,11
ORD-000011,2024-10-29 15:00:00,CUST-04711,Health & Beauty,38.13,5,South West,Paid Search,Mobile,0,0,5,0,190.65,2024-10,Tuesday,15
ORD-000012,2023-12-13 18:00:00,CUST-01186,Sports,103.84,1,West Midlands,Referral,Tablet,0,0,3,0,103.84,2023-12,Wednesday,18
ORD-000013,2023-03-12 05:00:00,CUST-06533,Fashion,25.68,2,East of England,Social Media,Desktop,0,0,3,0,51.36,2023-03,Sunday,5
ORD-000014,2023-02-02 01:00:00,CUST-07566,Health & Beauty,51.65,3,South West,Social Media,Mobile,1,0,3,1,7.75,2023-02,Thursday,1
ORD-000015,2023-04-12 09:00:00,CUST-05925,Electronics,27.8,4,East of England,Social Media,Mobile,0,1,2,0,111.2,2023-04,Wednesday,9
ORD-000016,2023-08-10 07:00:00,CUST-07524,Fashion,46.18,5,Scotland,Paid Search,Mobile,0,0,3,0,230.9,2023-08,Thursday,7
ORD-000017,2023-07-30 11:00:00,CUST-04177,Food & Drink,18.02,4,Yorkshire,Paid Search,Mobile,0,0,7,0,72.08,2023-07,Sunday,11
ORD-000018,2023-09-25 12:00:00,CUST-05524,Food & Drink,10.76,1,London,Referral,Mobile,0,0,3,0,10.76,2023-09,Monday,12
ORD-000019,2023-09-24 12:00:00,CUST-02704,Health & Beauty,17.55,4,Yorkshire,Direct,Mobile,1,1,3,0,70.2,2023-09,Sunday,12
ORD-000020,2023-12-28 02:00:00,CUST-00875,Sports,37.45,2,East of England,Paid Search,Desktop,1,0,2,0,74.9,2023-12,Thursday,2
ORD-000021,2023-04-25 11:00:00,CUST-04695,Books & Media,13.33,4,North West,Direct,Desktop,1,0,3,0,53.32,2023-04,Tuesday,11
ORD-000022,2023-01-08 21:00:00,CUST-07307,Food & Drink,18.25,4,West Midlands,Organic Search,Mobile,0,0,7,0,73.0,2023-01,Sunday,21
ORD-000023,2023-05-06 05:00:00,CUST-05745,Home & Garden,62.95,3,South West,Paid Search,Desktop,1,0,2,0,188.85,2023-05,Saturday,5
ORD-000024,2023-03-21 03:00:00,CUST-05188,Home & Garden,36.46,4,South West,Direct,Desktop,0,0,1,0,145.84,2023-03,Tuesday,3
ORD-000025,2023-02-22 19:00:00,CUST-02416,Fashion,33.8,3,London,Organic Search,Tablet,0,1,2,0,101.4,2023-02,Wednesday,19
ORD-000026,2024-04-19 18:00:00,CUST-05036,Electronics,71.47,1,South East,Direct,Mobile,0,0,1,0,71.47,2024-04,Friday,18
ORD-000027,2023-05-29 04:00:00,CUST-00727,Home & Garden,66.93,3,Yorkshire,Paid Search,Desktop,1,1,3,0,200.79,2023-05,Monday,4
ORD-000028,2023-06-12 02:00:00,CUST-07519,Sports,91.53,3,North West,Organic Search,Desktop,1,0,5,0,274.59,2023-06,Monday,2
ORD-000029,2024-01-04 06:00:00,CUST-03517,Books & Media,25.03,1,South West,Organic Search,Mobile,0,0,2,0,25.03,2024-01,Thursday,6
ORD-000030,2024-08-27 06:00:00,CUST-06943,Books & Media,17.3,3,London,Paid Search,Desktop,0,0,2,0,51.9,2024-08,Tuesday,6
ORD-000031,2024-03-18 19:00:00,CUST-02885,Electronics,110.04,4,North West,Email,Desktop,1,0,3,0,440.16,2024-03,Monday,19
ORD-000032,2024-01-02 08:00:00,CUST-06875,Home & Garden,72.35,1,North West,Social Media,Desktop,0,0,7,0,72.35,2024-01,Tuesday,8
ORD-000033,2024-03-15 19:00:00,CUST-00221,Electronics,70.38,1,North West,Paid Search,Tablet,1,0,5,0,70.38,2024-03,Friday,19
ORD-000034,2024-03-03 05:00:00,CUST-01229,Fashion,77.25,3,South West,Paid Search,Desktop,0,0,3,0,231.75,2024-03,Sunday,5
ORD-000035,2023-12-18 09:00:00,CUST-01517,Food & Drink,14.44,3,London,Organic Search,Mobile,0,0,2,0,43.32,2023-12,Monday,9
ORD-000036,2024-03-02 09:00:00,CUST-00483,Home & Garden,17.56,2,London,Paid Search,Mobile,0,0,5,0,35.12,2024-03,Saturday,9
ORD-000037,2024-04-04 00:00:00,CUST-02621,Sports,29.44,1,Yorkshire,Organic Search,Mobile,0,0,1,0,29.44,2024-04,Thursday,0
ORD-000038,2023-04-19 20:00:00,CUST-02441,Electronics,197.26,5,West Midlands,Email,Desktop,0,0,2,0,986.3,2023-04,Wednesday,20
ORD-000039,2024-10-19 19:00:00,CUST-06962,Fashion,37.69,4,Wales,Paid Search,Desktop,0,0,1,0,150.76,2024-10,Saturday,19
ORD-000040,2024-12-15 23:00:00,CUST-04754,Health & Beauty,35.36,3,London,Paid Search,Tablet,0,0,3,0,106.08,2024-12,Sunday,23
ORD-000041,2024-05-23 14:00:00,CUST-07677,Electronics,72.12,1,South East,Social Media,Mobile,0,0,3,0,72.12,2024-05,Thursday,14
ORD-000042,2023-12-09 18:00:00,CUST-01533,Fashion,63.03,1,South West,Organic Search,Mobile,1,0,3,0,63.03,2023-12,Saturday,18
ORD-000043,2024-08-28 21:00:00,CUST-00015,Electronics,88.68,4,Wales,Paid Search,Mobile,0,0,1,0,354.72,2024-08,Wednesday,21
ORD-000044,2023-05-12 08:00:00,CUST-06424,Health & Beauty,28.79,1,Northern Ireland,Organic Search,Desktop,1,0,3,0,28.79,2023-05,Friday,8
ORD-000045,2023-03-08 01:00:00,CUST-04959,Food & Drink,36.13,5,South East,Organic Search,Mobile,1,1,3,0,180.65,2023-03,Wednesday,1
ORD-000046,2023-06-14 07:00:00,CUST-04853,Books & Media,11.34,2,Yorkshire,Social Media,Tablet,1,0,3,0,22.68,2023-06,Wednesday,7
ORD-000047,2023-02-12 13:00:00,CUST-05295,Food & Drink,31.25,4,Wales,Referral,Desktop,0,0,7,0,125.0,2023-02,Sunday,13
ORD-000048,2024-04-30 13:00:00,CUST-03783,Books & Media,13.51,5,Northern Ireland,Social Media,Desktop,0,0,2,0,67.55,2024-04,Tuesday,13
ORD-000049,2024-03-26 05:00:00,CUST-01737,Books & Media,14.06,1,London,Paid Search,Mobile,1,0,1,0,14.06,2024-03,Tuesday,5
ORD-000050,2024-07-13 01:00:00,CUST-00635,Health & Beauty,18.36,1,North West,Organic Search,Desktop,0,0,3,1,0.92,2024-07,Saturday,1
ORD-000051,2023-11-29 21:00:00,CUST-06608,Home & Garden,52.71,3,South West,Paid Search,Mobile,1,0,3,0,158.13,2023-11,Wednesday,21
ORD-000052,2024-02-08 20:00:00,CUST-07970,Fashion,32.52,4,Yorkshire,Email,Mobile,0,1,3,0,130.08,2024-02,Thursday,20
ORD-000053,2024-06-25 06:00:00,CUST-02528,Books & Media,29.55,2,Yorkshire,Paid Search,Tablet,0,0,3,0,59.1,2024-06,Tuesday,6
ORD-000054,2023-10-14 09:00:00,CUST-01303,Electronics,30.94,3,North West,Email,Mobile,0,0,3,0,92.82,2023-10,Saturday,9
ORD-000055,2023-08-25 11:00:00,CUST-05623,Electronics,144.92,1,East Midlands,Paid Search,Tablet,1,0,1,0,144.92,2023-08,Friday,11
ORD-000056,2023-01-07 17:00:00,CUST-01684,Food & Drink,8.78,2,London,Organic Search,Mobile,1,0,2,0,17.56,2023-01,Saturday,17
ORD-000057,2023-06-29 01:00:00,CUST-00557,Electronics,117.33,4,South East,Social Media,Mobile,0,0,2,0,469.32,2023-06,Thursday,1
ORD-000058,2023-02-11 11:00:00,CUST-04215,Food & Drink,15.12,5,South West,Paid Search,Tablet,0,1,3,0,75.6,2023-02,Saturday,11
ORD-000059,2024-04-25 14:00:00,CUST-00292,Sports,77.26,2,East Midlands,Organic Search,Mobile,1,0,2,0,154.52,2024-04,Thursday,14
ORD-000060,2023-11-14 21:00:00,CUST-07726,Fashion,41.84,3,Northern Ireland,Paid Search,Mobile,0,0,2,0,125.52,2023-11,Tuesday,21
ORD-000061,2023-02-12 08:00:00,CUST-01929,Health & Beauty,12.7,5,South East,Paid Search,Mobile,1,0,2,0,63.5,2023-02,Sunday,8
ORD-000062,2023-12-22 09:00:00,CUST-06414,Books & Media,33.89,5,South East,Email,Tablet,0,0,3,0,169.45,2023-12,Friday,9
ORD-000063,2024-12-20 06:00:00,CUST-01451,Fashion,71.71,2,South East,Paid Search,Mobile,1,1,3,0,143.42,2024-12,Friday,6
ORD-000064,2024-01-22 04:00:00,CUST-07892,Sports,74.38,2,South East,Direct,Tablet,1,1,7,1,7.44,2024-01,Monday,4
ORD-000065,2024-05-22 17:00:00,CUST-02381,Books & Media,10.21,3,West Midlands,Social Media,Mobile,0,0,3,0,30.63,2024-05,Wednesday,17
ORD-000066,2023-09-21 19:00:00,CUST-04541,Fashion,73.21,2,South East,Direct,Mobile,1,0,5,0,146.42,2023-09,Thursday,19
