transaction_id,date,year,month,price_gbp,property_type,new_build,region,postcode_area
TX-000001,2022-11-11,2022,11,194114,Terraced,0,South West,SO24
TX-000002,2020-06-06,2020,6,1031471,Detached,0,East of England,EA2
TX-000003,2022-01-27,2022,1,204226,Semi-Detached,0,South East,SO10
TX-000004,2021-03-25,2021,3,840135,Semi-Detached,1,London,LO3
TX-000005,2024-05-02,2024,5,146383,Semi-Detached,0,Wales,WA20
TX-000006,2021-07-03,2021,7,484967,Terraced,0,South East,SO14
TX-000007,2019-08-18,2019,8,158862,Terraced,0,South West,SO26
TX-000008,2019-04-08,2019,4,160591,Terraced,1,West Midlands,WE14
TX-000009,2018-08-25,2018,8,223214,Flat,0,South East,SO28
TX-000010,2022-09-25,2022,9,390300,Semi-Detached,0,North West,NO7
TX-000011,2018-12-10,2018,12,403221,Semi-Detached,0,South West,SO7
TX-000012,2021-07-01,2021,7,166138,Flat,0,North West,NO16
TX-000013,2023-08-03,2023,8,176597,Terraced,0,South West,SO5
TX-000014,2020-01-14,2020,1,161707,Terraced,0,Northern Ireland,NO7
TX-000015,2024-10-05,2024,10,687823,Detached,0,London,LO23
TX-000016,2024-11-07,2024,11,356083,Semi-Detached,1,North West,NO27
TX-000017,2021-02-12,2021,2,147945,Terraced,0,Yorkshire,YO12
TX-000018,2023-11-25,2023,11,343419,Semi-Detached,0,South West,SO7
TX-000019,2018-09-05,2018,9,106866,Terraced,0,Scotland,SC1
TX-000020,2021-08-24,2021,8,298455,Flat,0,London,LO9
TX-000021,2023-01-05,2023,1,482589,Semi-Detached,0,South West,SO17
TX-000022,2020-01-23,2020,1,71369,Flat,0,Northern Ireland,NO5
TX-000023,2018-03-23,2018,3,116954,Terraced,0,East of England,EA4
TX-000024,2020-01-20,2020,1,624776,Terraced,0,London,LO2
TX-000025,2020-01-28,2020,1,593011,Detached,1,North West,NO27
TX-000026,2019-03-07,2019,3,220830,Flat,0,South East,SO20
TX-000027,2024-02-10,2024,2,182838,Flat,0,Scotland,SC3
TX-000028,2019-09-01,2019,9,381937,Terraced,0,South East,SO16
TX-000029,2022-05-16,2022,5,94888,Flat,0,Northern Ireland,NO3
TX-000030,2023-08-17,2023,8,105469,Flat,1,Wales,WA8
TX-000031,2021-03-03,2021,3,136107,Semi-Detached,0,North East,NO16
TX-000032,2021-01-16,2021,1,244924,Detached,0,Northern Ireland,NO20
TX-000033,2024-03-23,2024,3,236294,Terraced,0,South West,SO22
TX-000034,2023-06-27,2023,6,473574,Semi-Detached,1,South East,SO27
TX-000035,2023-01-19,2023,1,85726,Terraced,0,North East,NO4
TX-000036,2018-01-14,2018,1,283052,Flat,0,London,LO21
TX-000037,2021-09-28,2021,9,148261,Flat,0,Scotland,SC1
TX-000038,2022-05-03,2022,5,543183,Detached,0,London,LO18
TX-000039,2024-06-22,2024,6,160150,Terraced,0,East Midlands,EA23
TX-000040,2020-10-01,2020,10,323937,Flat,0,London,LO9
TX-000041,2024-10-26,2024,10,148683,Flat,1,Yorkshire,YO7
TX-000042,2022-04-16,2022,4,213826,Terraced,0,West Midlands,WE14
TX-000043,2024-12-26,2024,12,309470,Terraced,0,Scotland,SC29
TX-000044,2019-06-15,2019,6,167972,Semi-Detached,0,Wales,WA22
TX-000045,2022-01-15,2022,1,203525,Flat,0,East Midlands,EA3
TX-000046,2021-02-17,2021,2,176668,Terraced,0,North West,NO24
TX-000047,2021-10-26,2021,10,746365,Detached,0,East of England,EA26
TX-000048,2019-06-21,2019,6,381071,Terraced,0,South East,SO1
TX-000049,2024-05-05,2024,5,108315,Terraced,0,Northern Ireland,NO22
TX-000050,2023-12-14,2023,12,849125,Detached,0,London,LO20
TX-000051,2019-10-23,2019,10,265724,Semi-Detached,0,South East,SO26
TX-000052,2022-04-26,2022,4,369759,Detached,0,North West,NO19
TX-000053,2018-08-27,2018,8,162334,Terraced,0,West Midlands,WE20
TX-000054,2019-03-19,2019,3,174763,Terraced,0,East Midlands,EA11
TX-000055,2020-01-26,2020,1,90354,Flat,0,Scotland,SC10
TX-000056,2019-03-21,2019,3,575551,Semi-Detached,0,London,LO18
TX-000057,2022-08-09,2022,8,148085,Terraced,0,North West,NO24
TX-000058,2018-03-07,2018,3,201633,Semi-Detached,0,North East,NO24
TX-000059,2022-12-17,2022,12,309447,Semi-Detached,0,Wales,WA17
TX-000060,2018-06-04,2018,6,293574,Semi-Detached,0,West Midlands,WE12
TX-000061,2020-12-26,2020,12,193339,Semi-Detached,0,Northern Ireland,NO15
TX-000062,2022-03-21,2022,3,494387,Terraced,0,London,LO4
TX-000063,2018-07-05,2018,7,239994,Detached,0,Scotland,SC3
TX-000064,2020-11-10,2020,11,319307,Detached,0,Scotland,SC26
TX-000065,2022-06-26,2022,6,335089,Detached,0,North West,NO2
TX-000066,2022-06-01,2022,6,355676,Flat,0,London,LO22
TX-000067,2024-07-12,2024,7,83402,Flat,0,North East,NO22
TX-000068,2019-10-13,2019,10,304982,Semi-Detached,0,Yorkshire,YO13
TX-000069,2023-10-03,2023,10,343913,Terraced,0,South West,SO13
TX-000070,2018-12-06,2018,12,440422,Semi-Detached,1,South East,SO21
TX-000071,2021-05-15,2021,5,437994,Detached,0,Northern Ireland,NO9
TX-000072,2024-01-16,2024,1,265987,Terraced,0,South East,SO23
TX-000073,2021-10-08,2021,10,336075,Flat,0,London,LO26
TX-000074,2019-08-28,2019,8,525229,Semi-Detached,0,South East,SO5
TX-000075,2020-06-16,2020,6,234743,Detached,0,Northern Ireland,NO29
TX-000076,2020-06-15,2020,6,181808,Flat,0,London,LO25
TX-000077,2023-02-18,2023,2,258061,Terraced,0,South West,SO15
TX-000078,2022-10-27,2022,10,314834,Semi-Detached,1,South East,SO17
TX-000079,2019-09-17,2019,9,199128,Semi-Detached,1,Wales,WA5
TX-000080,2023-03-05,2023,3,155238,Terraced,0,Northern Ireland,NO10
TX-000081,2018-05-02,2018,5,129337,Semi-Detached,0,Wales,WA28
TX-000082,2024-10-03,2024,10,573452,Semi-Detached,0,South East,SO27
TX-000083,2018-06-05,2018,6,153281,Flat,0,East of England,EA21
TX-000084,2020-03-02,2020,3,244446,Flat,0,North West,NO6
TX-000085,2019-11-15,2019,11,372556,Detached,0,North West,NO28
